HQ_Saturdays,HQ_Sundays,HQ_Holidays,HQ_OtherOffs,XM_Saturdays,XM_Sundays,XM_Holidays,
2024/7/27,2024/7/28,,,2024/7/27,2024/7/28,,
2024/8/3,2024/8/4,,,2024/8/3,2024/8/4,,
2024/8/10,2024/8/11,,,2024/8/10,2024/8/11,,
2024/8/17,2024/8/18,,,2024/8/17,2024/8/18,,
2024/8/24,2024/8/25,,,2024/8/24,2024/8/25,,
2024/8/31,2024/9/1,,,2024/8/31,2024/9/1,,
2024/9/7,2024/9/8,,,2024/9/7,2024/9/8,,
2024/9/14,2024/9/15,,,,2024/9/15,,
2024/9/21,2024/9/22,,,2024/9/21,2024/9/22,,
2024/9/28,2024/9/29,,,2024/9/28,,,
2024/10/5,2024/10/6,,,2024/10/5,2024/10/6,,
2024/10/12,2024/10/13,,,,2024/10/13,,
2024/10/19,2024/10/20,,,2024/10/19,2024/10/20,,
2024/10/26,2024/10/27,,,2024/10/26,2024/10/27,,
2024/11/2,2024/11/3,,,2024/11/2,2024/11/3,,
2024/11/9,2024/11/10,,,2024/11/9,2024/11/10,,
2024/11/16,2024/11/17,,,2024/11/16,2024/11/17,,
2024/11/23,2024/11/24,,,2024/11/23,2024/11/24,,
2024/11/30,2024/12/1,,,2024/11/30,2024/12/1,,
2024/12/7,2024/12/8,,,2024/12/7,2024/12/8,,
2024/12/14,2024/12/15,,,2024/12/14,2024/12/15,,
2024/12/21,2024/12/22,,,2024/12/21,2024/12/22,,
2024/12/28,2024/12/29,,,2024/12/28,2024/12/29,,
